Country,ISO3,Year,Indicator,Sex,Value
Malaysia,MYS,2010,Employment in agriculture,female,8.49
Malaysia,MYS,2010,Employment in agriculture,male,15.90
Malaysia,MYS,2010,Employment in agriculture (% of total employment),total,13.30
Malaysia,MYS,2011,Employment in agriculture,female,8.40
Malaysia,MYS,2011,Employment in agriculture,male,15.99
Malaysia,MYS,2011,Employment in agriculture (% of total employment),total,13.33
Malaysia,MYS,2012,Employment in agriculture,female,8.51
Malaysia,MYS,2012,Employment in agriculture,male,15.88
Malaysia,MYS,2012,Employment in agriculture (% of total employment),total,13.25
Malaysia,MYS,2013,Employment in agriculture,female,8.05
Malaysia,MYS,2013,Employment in agriculture,male,15.34
Malaysia,MYS,2013,Employment in agriculture (% of total employment),total,12.69
Malaysia,MYS,2014,Employment in agriculture,female,7.96
Malaysia,MYS,2014,Employment in agriculture,male,15.28
Malaysia,MYS,2014,Employment in agriculture (% of total employment),total,12.58
Malaysia,MYS,2015,Employment in agriculture,female,7.81
Malaysia,MYS,2015,Employment in agriculture,male,15.20
Malaysia,MYS,2015,Employment in agriculture (% of total employment),total,12.47
Malaysia,MYS,2016,Employment in agriculture,female,6.74
Malaysia,MYS,2016,Employment in agriculture,male,14.08
Malaysia,MYS,2016,Employment in agriculture (% of total employment),total,11.37
Malaysia,MYS,2017,Employment in agriculture,female,6.72
Malaysia,MYS,2017,Employment in agriculture,male,13.97
Malaysia,MYS,2017,Employment in agriculture (% of total employment),total,11.28
Malaysia,MYS,2018,Employment in agriculture,female,6.26
Malaysia,MYS,2018,Employment in agriculture,male,13.18
Malaysia,MYS,2018,Employment in agriculture (% of total employment),total,10.62
Malaysia,MYS,2019,Employment in agriculture,female,5.97
Malaysia,MYS,2019,Employment in agriculture,male,12.71
Malaysia,MYS,2019,Employment in agriculture (% of total employment),total,10.22
Malaysia,MYS,2020,Employment in agriculture,female,6.06
Malaysia,MYS,2020,Employment in agriculture,male,13.04
Malaysia,MYS,2020,Employment in agriculture (% of total employment),total,10.47
Malaysia,MYS,2021,Employment in agriculture,female,6.06
Malaysia,MYS,2021,Employment in agriculture,male,12.76
Malaysia,MYS,2021,Employment in agriculture (% of total employment),total,10.29
Malaysia,MYS,2022,Employment in agriculture,female,5.83
Malaysia,MYS,2022,Employment in agriculture,male,12.47
Malaysia,MYS,2022,Employment in agriculture (% of total employment),total,10.01
