Country_Name,Year,Indicator_Name,Value
Malaysia,2010,Fertilizer_consumption ,2166.750064
Malaysia,2011,Fertilizer_consumption ,2183.644986
Malaysia,2012,Fertilizer_consumption ,1916.8405
Malaysia,2013,Fertilizer_consumption,1985.865404
Malaysia,2014,Fertilizer_consumption ,2263.397952
Malaysia,2015,Fertilizer_consumption ,1896.164108
Malaysia,2016,Fertilizer_consumption ,1995.781718
Malaysia,2017,Fertilizer_consumption ,2011.317214
Malaysia,2018,Fertilizer_consumption ,1953.724067
Malaysia,2019,Fertilizer_consumption ,1347.494869
Malaysia,2020,Fertilizer_consumption ,1591.180005
Malaysia,2021,Fertilizer_consumption ,2148.048164
Malaysia,2022,Fertilizer_consumption ,1612.105076
Malaysia,2010,Agriculture_GDP%,10.08991593
Malaysia,2011,Agriculture_GDP%,11.45335312
Malaysia,2012,Agriculture_GDP%,9.793750746
Malaysia,2013,Agriculture_GDP%,9.113363845
Malaysia,2014,Agriculture_GDP%,8.873209013
Malaysia,2015,Agriculture_GDP%,8.287499926
Malaysia,2016,Agriculture_GDP%,8.462526618
Malaysia,2017,Agriculture_GDP%,8.598276952
Malaysia,2018,Agriculture_GDP%,7.512089533
Malaysia,2019,Agriculture_GDP%,7.241308
Malaysia,2020,Agriculture_GDP%,8.166002271
Malaysia,2021,Agriculture_GDP%,9.566214588
Malaysia,2022,Agriculture_GDP%,8.950720823


