Year,Indicator Name,Value(%)
2010,Agricultural  imports,1.986410526
2010,Agricultural  exports,2.645598361
2011,Agricultural  imports,2.463678858
2011,Agricultural  exports,3.165911119
2012,Agricultural  imports,2.503212183
2012,Agricultural  exports,2.400565276
2013,Agricultural  imports,2.116949037
2013,Agricultural  exports,2.16598303
2014,Agricultural  imports,1.736688658
2014,Agricultural  exports,1.760606188
2015,Agricultural  imports,1.733730618
2015,Agricultural  exports,1.845001685
2016,Agricultural  imports,1.717206663
2016,Agricultural  exports,1.936988491
2017,Agricultural  imports,1.995134624
2017,Agricultural  exports,2.126963688
2018,Agricultural  imports,1.761731857
2018,Agricultural  exports,1.682455373
2019,Agricultural  imports,1.88452414
2019,Agricultural  exports,1.699092496
2020,Agricultural  imports,2.085153996
2020,Agricultural  exports,1.564481941
2021,Agricultural  imports,2.497382953
2021,Agricultural  exports,1.433594015
2022,Agricultural  exports,1.193417928
