"state","production","planted_area","yield"
"Johor",10832,2776,3.90201729106628
"Kedah",834901,213718,3.90655443154063
"Kelantan",272633,74017,3.68338354702298
"Malacca",10314,3318,3.10849909584087
"Negeri Sembilan",4941,1313,3.76313785224676
"Pahang",51185,13757,3.72065130479029
"Penang",122321,24210,5.05249896736886
"Perak",269790,74594,3.61677882939647
"Perlis",233781,60470,3.86606581776087
"Sabah",107565,37323,2.88200305441685
"Sarawak",147272,77943,1.88948334038977
"Selangor",153492,35539,4.3189735220462
"Terengganu",62712,18957,3.30811837316031
