state,year,avg_planted_area,avg_production,avg_yield
Johor,2017,12956.94,27352855.62,18720.01
Johor,2018,10784.41,27834842.41,18720.77
Johor,2019,9691.1,28359723.29,18721.26
Johor,2020,10270.43,21641371.7,14679.29
Johor,2021,11350.76,18447796.83,12707.05
Johor,2022,11550.47,18831316.96,12795.7
Kedah,2017,25805.22,197045.79,2450.64
Kedah,2018,25713.36,202480.82,2452.47
Kedah,2019,25637.72,193574.34,2449.02
Kedah,2020,25893.54,178417.17,1920.8
Kedah,2021,25657.64,193909.01,1972.16
Kedah,2022,25498.86,193241.16,1979.36
Kelantan,2017,12428.71,594317.51,14958.01
Kelantan,2018,13211.96,613904.5,14927.98
Kelantan,2019,13114.82,620994.52,14959.13
Kelantan,2020,13626.73,497150.47,11724.81
Kelantan,2021,13616.41,527652.96,12362.36
Kelantan,2022,13960.37,526430.61,12430.09
Malacca,2017,1342.12,80952.5,2104.27
Malacca,2018,1329.39,80959.23,2103.74
Malacca,2019,1232.14,80628.96,2101.23
Malacca,2020,1690.99,66039.97,1648.18
Malacca,2021,1352.69,79906.21,1884.01
Malacca,2022,1814.47,82264.99,1889.03
Negeri Sembilan,2017,1461.66,397861.66,17544.46
Negeri Sembilan,2018,1392.49,405753.78,17542.45
Negeri Sembilan,2019,1397.17,414816.28,17562.45
Negeri Sembilan,2020,1400,319893.26,13808.85
Negeri Sembilan,2021,1426.04,320934.12,13193.05
Negeri Sembilan,2022,1454.23,325661.67,13233.23
Pahang,2017,8810.14,15919812.92,37620.77
Pahang,2018,7682.63,16206315.09,37619.44
Pahang,2019,7011,16505696.16,37622.96
Pahang,2020,7128.27,12598679.28,29494.05
Pahang,2021,7674.71,10658478.86,27480.52
Pahang,2022,8094.08,10935355.78,27588.22
Penang,2017,3239.67,29873.1,2580.46
Penang,2018,3243.34,28738.43,2881.14
Penang,2019,3258.97,29071.41,2936.22
Penang,2020,3104.44,25705.57,2041.05
Penang,2021,3117.07,29222.99,2241.16
Penang,2022,3073.11,27443.81,2229
Perak,2017,13604.52,4001956.4,26364.08
Perak,2018,13530.42,4070452.07,26359.66
Perak,2019,13443.71,4148254.23,26356.32
Perak,2020,12766.17,3174267.94,20660.78
Perak,2021,12817.02,2795567.6,18404.87
Perak,2022,12673.04,2843522.64,18472.54
Perlis,2017,6285.73,72294.3,14248.49
Perlis,2018,6252.48,73784.13,14504.55
Perlis,2019,6192.03,69857.84,14302.55
Perlis,2020,6071.98,58303.63,12669.88
Perlis,2021,7022.96,66777.18,13310.52
Perlis,2022,7173.53,64936.37,11484.16
Sabah,2017,11376.32,928804.7,16650.21
Sabah,2018,11434.71,945816.59,16644.6
Sabah,2019,11671.94,966026.62,14809.72
Sabah,2020,11367.52,746916.57,11603.37
Sabah,2021,11511.78,786173.03,11811.44
Sabah,2022,11563.73,798145.86,11872.35
Sarawak,2017,26151.91,217847.41,1845.78
Sarawak,2018,27783.22,203852.46,1845.42
Sarawak,2019,24968.66,224120.18,1846.81
Sarawak,2020,25725.11,180478.34,1448.01
Sarawak,2021,24767.23,174476.86,1475.48
Sarawak,2022,20567.48,172822.29,1481.67
Selangor,2017,6828.22,7339626.96,25187.41
Selangor,2018,7024.14,7470532.01,25187.8
Selangor,2019,8183.59,7612893.54,25186.98
Selangor,2020,6988.98,5811896.53,19746.91
Selangor,2021,7086.56,5226684.42,19371.01
Selangor,2022,6687.78,5310092.94,19450.27
Terengganu,2017,3767.96,47562.57,2795.1
Terengganu,2018,4077.39,49555.39,2789.28
Terengganu,2019,4314.36,49109.06,2787.45
Terengganu,2020,4218.26,39406.5,2188.21
Terengganu,2021,3866,48569.31,2556.41
Terengganu,2022,3744.79,45059.32,2548.42
